Weather department predicts heavy rainfall,real
Government announces new education policy,real
University opens new admission portal,real
Stock market shows positive growth today,real
Health ministry issues new guidelines,real
India wins international cricket match,real
New highway project approved by government,real
Tech company launches new smartphone,real
Scientists discover new planet in solar system,real
Government launches new welfare scheme,real
Aliens land in Delhi metro station,fake
Dead people found walking in city streets,fake
Time travel machine invented in garage,fake
Money grows on trees discovered in forest,fake
Phones can now read minds directly,fake
School turns students into AI robots,fake
Actor revealed as robot in disguise,fake
Humans can live on Mars without oxygen,fake
Secret island discovered under ocean,fake
Government bans breathing after midnight,fake